"Story","Title","Result","Date","Stability","Duration (s)"
"Dashboard","Edit scenario","SUCCESS","2022-06-07T16:36:58.1960338+07:00[Asia/Bangkok]","0.0","49.94"
"Dashboard","Cancel Edit scenario","SUCCESS","2022-06-07T16:37:49.1630978+07:00[Asia/Bangkok]","0.0","45.86"
